QMTCODE,JJCODE,NAME,CLASS1,CLASS2,CLASS3,CONCEPTIONS,BENCHMARK
000725.SZ,SZSE.000725,京东方A,电子,光学光电子,面板,"AB股,HS300_,LED,MSCI中国,MicroLED,MiniLED,OLED,UWB概念,标准普尔,玻璃基板,超清视频,电子竞技,电子纸概念,富时罗素,钙钛矿电池,国产芯片,华为概念,混合现实,裸眼3D,苹果概念,屏下摄像,气溶胶检测,人工智能,荣耀概念,融资融券,柔性屏(折叠屏),深成500,深股通,深证100R,物联网,小米概念,新零售,虚拟现实,央国企改革,医疗美容,智慧城市,智能穿戴",A
000729.SZ,SZSE.000729,燕京啤酒,食品饮料,非白酒,啤酒,"MSCI中国,标准普尔,创投,富时罗素,啤酒概念,融资融券,深成500,深股通,央国企改革,中证500",B
000733.SZ,SZSE.000733,振华科技,国防军工,军工电子Ⅱ,军工电子Ⅲ,"IGBT概念,MLCC,MSCI中国,半导体概念,被动元件,标准普尔,参股券商,超级电容,储能,大飞机,低空经济,富时罗素,国产芯片,军工,军民融合,融资融券,商业航天,深成500,深股通,物联网,西部大开发,新能源车,央国企改革,中证500,锂电池",A
000738.SZ,SZSE.000738,航发控制,国防军工,航空装备Ⅱ,航空装备Ⅲ,"MSCI中国,标准普尔,富时罗素,航母概念,军工,融资融券,商业航天,深成500,深股通,通用航空,央国企改革,中证500",A
000739.SZ,SZSE.000739,普洛药业,医药生物,化学制药,原料药,"CRO,标准普尔,病毒防治,宠物经济,创新药,富时罗素,合成生物,减肥药,流感,融资融券,深成500,深股通,中证500",B
000750.SZ,SZSE.000750,国海证券,非银金融,证券Ⅱ,证券Ⅲ,"2025中报预增,MSCI中国,标准普尔,富时罗素,互联金融,券商概念,融资融券,深成500,深股通,西部大开发,央国企改革,中证500",B
000776.SZ,SZSE.000776,广发证券,非银金融,证券Ⅱ,证券Ⅲ,"AH股,HS300_,MSCI中国,标准普尔,富时罗素,互联金融,机构重仓,券商概念,融资融券,深成500,深股通,深证100R,养老金,证金持股",B
000786.SZ,SZSE.000786,北新建材,建筑材料,装修建材,其他建材,"HS300_,IPO受益,MSCI中国,标准普尔,参股新三板,富时罗素,融资融券,深成500,深股通,深证100R,新材料,新能源,雄安新区,央国企改革,装配建筑",B
000799.SZ,SZSE.000799,酒鬼酒,食品饮料,白酒Ⅱ,白酒Ⅲ,"2025中报预减,白酒,标准普尔,富时罗素,融资融券,深成500,深股通,央国企改革",B
000803.SZ,SZSE.000803,山高环能,环保,环境治理,固废治理,"2025中报扭亏,成渝特区,大数据,工业互联,节能环保,垃圾分类,物联网,西部大开发,央国企改革,云计算",C
000807.SZ,SZSE.000807,云铝股份,有色金属,工业金属,铝,"HS300_,MSCI中国,标准普尔,富时罗素,节能环保,燃料电池,融资融券,深成500,深股通,数据中心,西部大开发,稀缺资源,新能源车,央国企改革",A
000811.SZ,SZSE.000811,冰轮环境,机械设备,通用设备,制冷空调设备,"冰雪经济,创投,地热能,东数西算,海洋经济,核能核电,节能环保,可控核聚变,空气能热泵,冷链物流,氢能源,燃料电池,融资融券,熔盐储能,深股通,数据中心,碳交易,体育产业,雅下水电概念,央国企改革,液冷概念,中俄贸易概念",A
000830.SZ,SZSE.000830,鲁西化工,基础化工,化学原料,煤化工,"MSCI中国,标准普尔,氟化工,富时罗素,化工原料,磷化工,煤化工,融资融券,深成500,深股通,乡村振兴,消毒剂,央国企改革,有机硅,中证500",A
000831.SZ,SZSE.000831,中国稀土,有色金属,小金属,稀土,"2025中报扭亏,MSCI中国,标准普尔,富时罗素,融资融券,深成500,深股通,稀土永磁,小金属概念,央国企改革,中证500,中字头",A
000858.SZ,SZSE.000858,五 粮 液,食品饮料,白酒Ⅱ,白酒Ⅲ,"HS300_,MSCI中国,白酒,百元股,标准普尔,参股银行,超级品牌,成渝特区,电商概念,富时罗素,机构重仓,茅指数,融资融券,深成500,深股通,深证100R,西部大开发,新零售,央国企改革,证金持股",B
000860.SZ,SZSE.000860,顺鑫农业,食品饮料,白酒Ⅱ,白酒Ⅲ,"2025中报预减,QFII重仓,白酒,标准普尔,富时罗素,京津冀,融资融券,深股通,央国企改革,猪肉概念",B
000880.SZ,SZSE.000880,潍柴重机,汽车,汽车零部件,底盘与发动机系统,"2025中报预增,发电机概念,海工装备,融资融券,深股通,央国企改革",B
000902.SZ,SZSE.000902,新洋丰,基础化工,农化制品,复合肥,"标准普尔,富时罗素,磷化工,农业种植,融资融券,深成500,深股通,生态农业,转债标的",A
000937.SZ,SZSE.000937,冀中能源,煤炭,煤炭开采,焦煤,"2025中报预减,标准普尔,反内卷概念,富时罗素,机构重仓,融资融券,深成500,深股通,稀缺资源,雄安新区,央国企改革,中证500",B
000938.SZ,SZSE.000938,紫光股份,计算机,IT服务Ⅱ,IT服务Ⅲ,"5G概念,AIGC概念,CPO概念,DeepSeek概念,HS300_,IPv6,MSCI中国,WiFi,标准普尔,参股新三板,车联网(车路云),创投,大数据,东数西算,富时罗素,国产芯片,国家安防,区块链,人工智能,融资融券,深成500,深股通,深证100R,数字经济,算力概念,网络安全,物联网,液冷概念,英伟达概念,云计算",A
000949.SZ,SZSE.000949,新乡化纤,基础化工,化学纤维,粘胶,"2025中报预减,机构重仓,深股通,央国企改革",A
000951.SZ,SZSE.000951,中国重汽,汽车,商用车,商用载货车,"标准普尔,富时罗素,氢能源,融资融券,深成500,深股通,无人驾驶,新能源车,央国企改革,中证500,中字头",B
000960.SZ,SZSE.000960,锡业股份,有色金属,小金属,其他小金属,"MSCI中国,标准普尔,富时罗素,化债(AMC)概念,融资融券,深成500,深股通,西部大开发,稀缺资源,小金属概念,央国企改革,中证500",A
000962.SZ,SZSE.000962,东方钽业,有色金属,小金属,其他小金属,"半导体概念,超导概念,核能核电,可控核聚变,商业航天,深股通,太阳能,西部大开发,稀缺资源,小金属概念,新材料,央国企改革",A
000963.SZ,SZSE.000963,华东医药,医药生物,化学制药,化学制剂,"HS300_,MSCI中国,标准普尔,长江三角,创新药,单抗概念,富时罗素,合成生物,机构重仓,减肥药,冷链物流,内贸流通,人工智能,融资融券,深成500,深股通,深证100R,医疗美容,医疗器械概念,证金持股,中药概念",B
000975.SZ,SZSE.000975,山金国际,有色金属,贵金属,黄金,"2025中报预增,HS300_,MSCI中国,标准普尔,富时罗素,黄金概念,融资融券,深成500,深股通,深证100R,西部大开发,小金属概念,央国企改革",A
000977.SZ,SZSE.000977,浪潮信息,计算机,计算机设备,其他计算机设备,"AIGC概念,HS300_,MSCI中国,百度概念,边缘计算,标准普尔,车联网(车路云),大数据,东数西算,抖音概念(字节概念),富时罗素,国产软件,国产芯片,国资云概念,人工智能,融资融券,深成500,深股通,深证100R,数据中心,数字经济,算力概念,网络安全,信创,央国企改革,液冷概念,英伟达概念,元宇宙概念,云计算,智慧城市",A
000983.SZ,SZSE.000983,山西焦煤,煤炭,煤炭开采,焦煤,"HS300_,MSCI中国,标准普尔,反内卷概念,富时罗素,机构重仓,融资融券,深成500,深股通,稀缺资源,央国企改革",B
000988.SZ,SZSE.000988,华工科技,机械设备,自动化设备,激光设备,"2025中报预增,3D玻璃,3D打印,5G概念,CPO概念,DeepSeek概念,F5G概念,IPO受益,MSCI中国,半导体概念,标准普尔,玻璃基板,充电桩,传感器,创投,富时罗素,高压快充,工业母机,光通信模块,湖北自贸,华为概念,机器人概念,蓝宝石,量子科技,苹果概念,全息技术,融资融券,柔性屏(折叠屏),深成500,深股通,特斯拉,物联网,新材料,新能源车,央国企改革,移动支付,智能家居",A
000997.SZ,SZSE.000997,新 大 陆,计算机,计算机设备,其他计算机设备,"AI应用,DeepSeek概念,ETC,IPO受益,边缘计算,标准普尔,彩票概念,参股银行,大数据,电子身份证,独角兽,富时罗素,国产芯片,鸿蒙概念,互联金融,跨境支付,区块链,融资融券,深成500,深股通,食品安全,数字货币,数字经济,物联网,乡村振兴,移动支付,证金持股,中证500",A
001205.SZ,SZSE.001205,盛航股份,交通运输,航运港口,航运,"海洋经济,专精特新,转债标的",C
001206.SZ,SZSE.001206,依依股份,美容护理,个护用品,生活用纸,"贬值受益,宠物经济,电商概念,婴童概念",C
001221.SZ,SZSE.001221,悍高集团,轻工制造,家居用品,其他家居用品,"QFII重仓,次新股,电商概念,融资融券,深股通,中证500,注册制次新股",B
001222.SZ,SZSE.001222,源飞宠物,轻工制造,文娱用品,娱乐用品,"贬值受益,宠物经济,跨境电商,新零售",B
001230.SZ,SZSE.001230,劲旅环境,环保,环境治理,固废治理,"DeepSeek概念,PPP模式,机器人概念,垃圾分类,人工智能,数据中心,无人驾驶,新能源车,新型城镇化,智慧城市,专精特新",C
001266.SZ,SZSE.001266,宏英智能,机械设备,自动化设备,工控设备,"2025中报预增,充电桩,储能,机器人概念,无人驾驶,新型工业化,专精特新",A
001267.SZ,SZSE.001267,汇绿生态,建筑装饰,基础建设,园林工程,"2025中报预增,CPO概念,并购重组概念,光通信模块,机构重仓,深股通,新型城镇化,养老金",B
001283.SZ,SZSE.001283,豪鹏科技,电力设备,电池,锂电池,"2025中报预增,AIPC,AI眼镜,储能,低空经济,动力电池回收,固态电池,机器人概念,人形机器人,社保重仓,深股通,锂电池",A
001286.SZ,SZSE.001286,陕西能源,公用事业,电力,火力发电,"超超临界发电,融资融券,深成500,深股通,西部大开发,央国企改革,中证500",C
001301.SZ,SZSE.001301,尚太科技,电力设备,电池,电池化学品,"储能,固态电池,深股通,新材料,专精特新,转债标的,锂电池",A
001306.SZ,SZSE.001306,夏厦精密,机械设备,通用设备,金属制品,"QFII重仓,机构重仓,机器人概念,机器人执行器,减速器,人形机器人,融资融券,深股通,新能源车,智能家居,专精特新",A
001309.SZ,SZSE.001309,德明利,电子,半导体,数字芯片设计,"5G概念,AIPC,QFII重仓,百元股,半导体概念,存储芯片,国产芯片,融资融券,深成500,深股通,信创,专精特新",A
001311.SZ,SZSE.001311,多利科技,汽车,汽车零部件,其他汽车零部件,"汽车一体化压铸,深股通,特斯拉,新能源车,养老金",B
001322.SZ,SZSE.001322,箭牌家居,轻工制造,家居用品,卫浴制品,"华为概念,机构重仓,节能环保,深股通,智能家居",B
001328.SZ,SZSE.001328,登康口腔,美容护理,个护用品,洗护用品,"超级品牌,融资融券,深股通,西部大开发,央国企改革,医疗器械概念",C
001332.SZ,SZSE.001332,锡装股份,机械设备,专用设备,能源及重型设备,"QFII重仓,核能核电,机构重仓,深股通,太阳能,养老金,油气设服,专精特新",A
001338.SZ,SZSE.001338,永顺泰,农林牧渔,农产品加工,其他农产品加工,"机构重仓,啤酒概念,深股通,央国企改革",C
001366.SZ,SZSE.001366,播恩集团,农林牧渔,饲料,畜禽饲料,"合成生物,微盘股,猪肉概念",C
001696.SZ,SZSE.001696,宗申动力,机械设备,通用设备,其他通用设备,"2025三季报预增,2025中报预增,标准普尔,成渝特区,储能,低空经济,地摊经济,发电机概念,富时罗素,军工,军民融合,汽车一体化压铸,氢能源,燃料电池,融资融券,深成500,深股通,通用航空,无人机,无线充电,西部大开发,新能源车,中证500,专精特新",A
001979.SZ,SZSE.001979,招商蛇口,房地产,房地产开发,商业地产,"HS300_,MSCI中国,REITs概念,标准普尔,富时罗素,机构重仓,免税概念,破净股,融资融券,深成500,深股通,深证100R,深圳特区,雄安新区,央国企改革,养老概念,一带一路,粤港自贸,证金持股,租售同权",B
002001.SZ,SZSE.002001,新 和 成,基础化工,化学制品,食品及饲料添加剂,"2025中报预增,HS300_,MSCI中国,标准普尔,创投,富时罗素,化工原料,青蒿素,融资融券,深成500,深股通,深证100R,维生素,新材料",A
002003.SZ,SZSE.002003,伟星股份,纺织服饰,纺织制造,辅料,"长江三角,融资融券,社保重仓,深成500,深股通,养老金",C
002008.SZ,SZSE.002008,大族激光,机械设备,自动化设备,激光设备,"2025中报预减,3D打印,MSCI中国,MiniLED,OLED,PCB,TOPCon电池,半导体概念,标准普尔,第三代半导体,富时罗素,工业母机,固态电池,光刻机(胶),华为概念,机器人概念,机器人执行器,苹果概念,融资融券,深成500,深股通,深圳特区,物联网,央视50_,中证500,锂电池",A
002027.SZ,SZSE.002027,分众传媒,传媒,广告营销,广告媒体,"HS300_,MSCI中国,阿里概念,标准普尔,大数据,电子竞技,富时罗素,融资融券,深成500,深股通,深证100R",A
002028.SZ,SZSE.002028,思源电气,电力设备,电网设备,输变电设备,"HS300_,MSCI中国,QFII重仓,百元股,半导体概念,标准普尔,长江三角,超级电容,充电桩,储能,磁悬浮概念,风能,富时罗素,融资融券,深成500,深股通,深证100R,太阳能,特高压,新能源,智能电网",A
002031.SZ,SZSE.002031,巨轮智能,机械设备,专用设备,其他专用设备,"工业母机,核能核电,机器人概念,减速器,冷链物流,人工智能,人形机器人,融资融券,深股通",A
002032.SZ,SZSE.002032,苏 泊 尔,家用电器,小家电,厨房小家电,"标准普尔,长江三角,富时罗素,机构重仓,融资融券,深成500,深股通,中证500",B
002035.SZ,SZSE.002035,华帝股份,家用电器,厨卫电器,厨房电器,"标准普尔,创投,电商概念,富时罗素,机器人概念,机器视觉,净水概念,空气能热泵,快手概念,融资融券,深股通,太阳能,体育产业,小红书概念,新零售,新能源,新型工业化,智能家居",B
002044.SZ,SZSE.002044,美年健康,医药生物,医疗服务,医院,"2025三季报预增,AIGC概念,AI应用,AI制药（医疗）,AI智能体,阿里概念,标准普尔,长江三角,大数据,电商概念,抖音小店,富时罗素,华为概念,基因测序,机构重仓,机器人概念,精准医疗,区块链,人工智能,融资融券,深成500,深股通,数据要素,养老概念,医疗器械概念,中证500",B
002048.SZ,SZSE.002048,宁波华翔,汽车,汽车零部件,车身附件及饰件,"PEEK材料概念,标准普尔,长江三角,富时罗素,机器人概念,人形机器人,融资融券,深成500,深股通,特斯拉,小米汽车",B
002049.SZ,SZSE.002049,紫光国微,电子,半导体,数字芯片设计,"5G概念,AI芯片,EDA概念,ETC,HS300_,IGBT概念,MSCI中国,半导体概念,标准普尔,车联网(车路云),存储芯片,大飞机,富时罗素,高带宽内存,国产芯片,蓝宝石,汽车芯片,区块链,人工智能,融资融券,深成500,深股通,深证100R,数字货币,算力概念,卫星互联网,移动支付,转债标的",A
002050.SZ,SZSE.002050,三花智控,家用电器,家电零部件Ⅱ,家电零部件Ⅲ,"AH股,HS300_,MSCI中国,标准普尔,长江三角,富时罗素,股权激励,华为汽车,机器人概念,机器人执行器,空气能热泵,冷链物流,汽车热管理,燃料电池,融资融券,深成500,深股通,深证100R,特斯拉,新能源车,智能家居",B
002056.SZ,SZSE.002056,横店东磁,电力设备,光伏设备,光伏电池组件,"2025三季报预增,2025中报预增,5G概念,BC电池,MSCI中国,TOPCon电池,标准普尔,长江三角,磁悬浮概念,低空经济,富时罗素,工业互联,共享经济,华为概念,军工,苹果概念,氢能源,融资融券,深成500,深股通,太阳能,特斯拉,无线充电,稀土永磁,小金属概念,新材料,新能源,新能源车,中证500,锂电池",A
002065.SZ,SZSE.002065,东华软件,计算机,IT服务Ⅱ,IT服务Ⅲ,"AI智能体,DRG/DIP,DeepSeek概念,百度概念,标准普尔,车联网(车路云),大数据,富时罗素,工业互联,国产软件,海南自贸,鸿蒙概念,互联金融,互联医疗,华为概念,军民融合,跨境支付,区块链,人工智能,融资融券,深成500,深股通,生物识别,数据中心,水利建设,算力概念,腾讯云,网络安全,无人驾驶,信创,雄安新区,虚拟现实,云计算,增强现实,智慧城市,智慧政务,中证500",A
002074.SZ,SZSE.002074,国轩高科,电力设备,电池,锂电池,"GDR,HS300_,MSCI中国,标准普尔,长江三角,充电桩,储能,低空经济,动力电池回收,飞行汽车(eVTOL),风能,富时罗素,固态电池,华为概念,换电概念,融资融券,深成500,深股通,数据中心,新能源,新能源车,智能电网,锂电池",A
002078.SZ,SZSE.002078,太阳纸业,轻工制造,造纸,大宗用纸,"MSCI中国,标准普尔,代糖概念,富时罗素,融资融券,深成500,深股通,养老金,中证500",B
002080.SZ,SZSE.002080,中材科技,建筑材料,玻璃玻纤,玻纤制造,"2025中报预增,5G概念,MSCI中国,PCB,标准普尔,长江三角,风能,富时罗素,节能环保,军工,氢能源,燃料电池,融资融券,商业航天,深成500,深股通,新材料,新能源,央国企改革,一带一路,中证500,中字头,锂电池",B
002100.SZ,SZSE.002100,天康生物,农林牧渔,饲料,畜禽饲料,"标准普尔,病毒防治,宠物经济,反内卷概念,富时罗素,鸡肉概念,融资融券,深股通,生物疫苗,西部大开发,央国企改革,预制菜概念,猪肉概念,转基因",C
002110.SZ,SZSE.002110,三钢闽光,钢铁,普钢,长材,"2025中报扭亏,标准普尔,反内卷概念,富时罗素,核能核电,破净股,融资融券,深股通,数据中心,央国企改革,一带一路",B
002129.SZ,SZSE.002129,TCL中环,电力设备,光伏设备,硅料硅片,"HIT电池,IGBT概念,MSCI中国,TOPCon电池,半导体概念,标准普尔,滨海新区,反内卷概念,富时罗素,蓝宝石,苹果概念,融资融券,深成500,深股通,太阳能,新材料,新能源,新能源车,一带一路,中芯概念",A
002138.SZ,SZSE.002138,顺络电子,电子,元件,被动元件,"5G概念,MSCI中国,被动元件,标准普尔,传感器,富时罗素,华为概念,燃料电池,融资融券,深成500,深股通,深圳特区,无人机,无线充电,物联网,小米概念,移动支付,中证500",A
002139.SZ,SZSE.002139,拓邦股份,电子,消费电子,消费电子零部件及组装,"DeepSeek概念,半导体概念,边缘计算,参股新三板,储能,高压快充,国家安防,鸿蒙概念,华为概念,华为汽车,机器人概念,机器视觉,激光雷达,空气能热泵,钠离子电池,人工智能,人形机器人,融资融券,深成500,深股通,深圳特区,太阳能,无人机,无人驾驶,无线充电,无线耳机,物联网,新能源车,新型工业化,智能电网,智能家居,锂电池",A
002148.SZ,SZSE.002148,北纬科技,通信,通信服务,通信应用增值服务,"5G概念,车联网(车路云),创投,大数据,低空经济,抖音概念(字节概念),国产芯片,国家安防,机器人概念,融资融券,深股通,数字经济,网络游戏,无人机,物联网",A
002155.SZ,SZSE.002155,湖南黄金,有色金属,贵金属,黄金,"2025中报预增,贬值受益,标准普尔,富时罗素,黄金概念,节能环保,融资融券,深成500,深股通,稀缺资源,小金属概念,央国企改革,中证500",A
002156.SZ,SZSE.002156,通富微电,电子,半导体,集成电路封测,"AIPC,CPO概念,Chiplet概念,MSCI中国,半导体概念,贬值受益,标准普尔,玻璃基板,长江三角,存储芯片,第三代半导体,富时罗素,国产芯片,毫米波概念,华为概念,华为海思,融资融券,深成500,深股通,碳化硅,特斯拉,物联网,移动支付,智能穿戴,中证500",A
002159.SZ,SZSE.002159,三特索道,社会服务,旅游及景区,自然景区,"冰雪经济,参股券商,股权转让,海南自贸,旅游概念,微盘股,央国企改革",C
002164.SZ,SZSE.002164,宁波东力,机械设备,通用设备,金属制品,"长江三角,风能,机器人概念,机器人执行器,减速器,融资融券,深股通",A
002174.SZ,SZSE.002174,游族网络,传媒,游戏Ⅱ,游戏Ⅲ,"2025中报预增,AI应用,标准普尔,大数据,电子竞技,抖音概念(字节概念),富时罗素,华为概念,融资融券,商汤概念,深股通,网络游戏,增强现实",A
002179.SZ,SZSE.002179,中航光电,国防军工,军工电子Ⅱ,军工电子Ⅲ,"5G概念,6G概念,HS300_,MSCI中国,北交所概念,标准普尔,充电桩,大飞机,富时罗素,华为概念,换电概念,机器人概念,军工,军民融合,可控核聚变,融资融券,商业航天,深成500,深股通,深证100R,特斯拉,新能源车,央国企改革,液冷概念",A
002180.SZ,SZSE.002180,纳思达,计算机,计算机设备,其他计算机设备,"MSCI中国,半导体概念,标准普尔,富时罗素,国产芯片,汽车芯片,人形机器人,融资融券,深成500,深股通,网络安全,物联网,信创,养老金,智能电网",A
002202.SZ,SZSE.002202,金风科技,电力设备,风电设备,风电整机,"AH股,MSCI中国,标准普尔,抽水蓄能,储能,风能,富时罗素,绿色电力,氢能源,融资融券,商业航天,深成500,深股通,西部大开发,新能源,一带一路,中证500,昨日涨停,昨日涨停_含一字",A
002206.SZ,SZSE.002206,海 利 得,基础化工,化学纤维,涤纶,"2025中报预增,PEEK材料概念,贬值受益,长江三角,创投,海工装备,海洋经济,机构重仓,融资融券,深股通,新材料,新能源,新能源车,一带一路",A
002209.SZ,SZSE.002209,达 意 隆,机械设备,专用设备,印刷包装机械,"2025中报预增,机器人概念,娃哈哈概念,消毒剂",A
002215.SZ,SZSE.002215,诺 普 信,农林牧渔,种植业,其他种植业,"北交所概念,标准普尔,草甘膦,电商概念,股权激励,海南自贸,机构重仓,农业种植,融资融券,深股通,深圳特区,生态农业,土地流转,乡村振兴",C
002222.SZ,SZSE.002222,福晶科技,电子,光学光电子,光学元件,"LED,被动元件,超清视频,华为概念,激光雷达,量子科技,融资融券,深成500,深股通,无人驾驶,虚拟现实,央国企改革,增强现实",A
002223.SZ,SZSE.002223,鱼跃医疗,医药生物,医疗器械,医疗设备,"MSCI中国,阿里概念,标准普尔,长江三角,富时罗素,互联医疗,蚂蚁概念,融资融券,深成500,深股通,消毒剂,雅下水电概念,养老概念,养老金,医疗器械概念,幽门螺杆菌概念,中证500",B
002225.SZ,SZSE.002225,濮耐股份,建筑材料,装修建材,耐火材料,"氢能源,深股通,碳交易,小金属概念,证金持股",B
